Activity Date,Process Date,Settle Date,Instrument,Description,Trans Code,Quantity,Price,Amount,
11/25/2022,11/25/2022,11/29/2022,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
order batcher",Buy,0.081087,$369.97 ,($30.00),
11/25/2022,11/25/2022,11/25/2022,,ACH Deposit,ACH,,,$75.00 ,
11/11/2022,11/11/2022,11/15/2022,MSFT,"Microsoft
CUSIP: 594918104
order batcher",Buy,0.060488,$247.98 ,($15.00),
11/11/2022,11/11/2022,11/15/2022,VOOG,"Vanguard S&P 500 Growth ETF
CUSIP: 921932505
order batcher",Buy,0.13325,$225.14 ,($30.00),
11/11/2022,11/11/2022,11/15/2022,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
order batcher",Buy,0.082036,$365.69 ,($30.00),
11/11/2022,11/11/2022,11/11/2022,,ACH Deposit,ACH,,,$75.00 ,
11/11/2022,11/11/2022,11/15/2022,AAPL,"Apple
CUSIP: 037833100
Bulk Equity Order Allocation Execution",Buy,0.014584,$145.36 ,($2.12),
11/10/2022,11/10/2022,11/10/2022,AAPL,Cash Div: R/D 2022-11-07 P/D 2022-11-10 - 9.216746 shares at 0.23,CDIV,,,$2.12 ,
11/1/2022,11/1/2022,11/3/2022,SPY,"SPDR S&P 500 ETF
CUSIP: 78462F103
Bulk Equity Order Allocation Execution",Buy,0.004101,$390.12 ,($1.60),
10/31/2022,10/31/2022,10/31/2022,SPY,Cash Div: R/D 2022-09-19 P/D 2022-10-31 - 1 shares at 1.596398,CDIV,,,$1.60 ,
10/28/2022,10/28/2022,11/1/2022,VOOG,"Vanguard S&P 500 Growth ETF
CUSIP: 921932505
order batcher",Buy,0.13683,$219.25 ,($30.00),
10/28/2022,10/28/2022,11/1/2022,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
order batcher",Buy,0.08425,$356.08 ,($30.00),
10/28/2022,10/28/2022,11/1/2022,MSFT,"Microsoft
CUSIP: 594918104
order batcher",Buy,0.064179,$233.72 ,($15.00),
10/28/2022,10/28/2022,10/28/2022,,ACH Deposit,ACH,,,$75.00 ,
10/14/2022,10/14/2022,10/18/2022,VOOG,"Vanguard S&P 500 Growth ETF
CUSIP: 921932505
order batcher",Buy,0.145482,$206.21 ,($30.00),
10/14/2022,10/14/2022,10/18/2022,MSFT,"Microsoft
CUSIP: 594918104
order batcher",Buy,0.065109,$230.38 ,($15.00),
10/14/2022,10/14/2022,10/18/2022,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
order batcher",Buy,0.090777,$330.48 ,($30.00),
10/14/2022,10/14/2022,10/14/2022,,ACH Deposit,ACH,,,$75.00 ,
10/5/2022,10/5/2022,10/7/2022,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
Bulk Equity Order Allocation Execution",Buy,0.005479,$343.15 ,($1.88),
10/4/2022,10/4/2022,10/4/2022,VOO,Cash Div: R/D 2022-09-29 P/D 2022-10-03 - 1.280618 shares at 1.4692,CDIV,,,$1.88 ,
10/4/2022,10/4/2022,10/6/2022,VOOG,"Vanguard S&P 500 Growth ETF
CUSIP: 921932505
Bulk Equity Order Allocation Execution",Buy,0.001469,$217.88 ,($0.32),
10/3/2022,10/3/2022,10/3/2022,VOOG,Cash Div: R/D 2022-09-29 P/D 2022-10-03 - 0.633527 shares at 0.5034,CDIV,,,$0.32 ,
9/30/2022,9/30/2022,10/4/2022,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
order batcher",Buy,0.090038,$333.19 ,($30.00),
9/30/2022,9/30/2022,10/4/2022,VOOG,"Vanguard S&P 500 Growth ETF
CUSIP: 921932505
order batcher",Buy,0.141356,$212.23 ,($30.00),
9/30/2022,9/30/2022,10/4/2022,MSFT,"Microsoft
CUSIP: 594918104
order batcher",Buy,0.063411,$236.55 ,($15.00),
9/30/2022,9/30/2022,9/30/2022,,ACH Deposit,ACH,,,$75.00 ,
9/29/2022,9/29/2022,10/3/2022,NOBL,"ProShares S&P 500 Dividend Aristocrats ETF
CUSIP: 74348A467
Bulk Equity Order Allocation Execution",Buy,0.021387,$81.83 ,($1.75),
9/28/2022,9/28/2022,9/28/2022,NOBL,Cash Div: R/D 2022-09-22 P/D 2022-09-28 - 4.340236 shares at 0.403209,CDIV,,,$1.75 ,
9/23/2022,9/23/2022,9/27/2022,RWR,"SPDR Dow Jones REIT ETF
CUSIP: 78464A607
Bulk Equity Order Allocation Execution",Buy,0.009481,$87.55 ,($0.83),
9/22/2022,9/22/2022,9/22/2022,RWR,Cash Div: R/D 2022-09-20 P/D 2022-09-22 - 0.85449 shares at 0.973546,CDIV,,,$0.83 ,
9/21/2022,9/21/2022,9/23/2022,UNH,"UnitedHealth
CUSIP: 91324P102
Bulk Equity Order Allocation Execution",Buy,0.000589,$526.49 ,($0.31),
9/20/2022,9/20/2022,9/20/2022,UNH,Cash Div: R/D 2022-09-12 P/D 2022-09-20 - 0.185979 shares at 1.65,CDIV,,,$0.31 ,
